date,time,Open,High,Low,Close,1004,ema4,ema8,ema16,rsi
2018.08.31,10:00:00,144.45,144.538,144.391,144.434,3007,144.4614158900572,144.46517127689296,144.44806250000002,15.006306459160616
2018.08.31,10:15:00,144.434,144.451,143.917,143.995,4577,144.27484953403433,144.36068877091674,144.3947610294118,0.9556147115821613
2018.08.31,10:30:00,143.995,144.148,143.951,144.114,2838,144.2105097204206,144.30586904404635,144.36173032006923,34.304022856454175
2018.08.31,10:45:00,144.113,144.301,144.101,144.273,2472,144.23550583225236,144.29856481203603,144.3512914588846,65.41875363869272
2018.08.31,11:00:00,144.274,144.28,144.118,144.201,3508,144.2217034993514,144.27688374269468,144.3336101107805,45.78143965067979
2018.08.31,11:15:00,144.2,144.245,143.998,144.013,2472,144.13822209961086,144.21824291098477,144.2958912742181,17.830442941135452
2018.08.31,11:30:00,144.013,144.092,143.964,144.071,2292,144.11133325976652,144.18552226409926,144.26943347725125,40.31458089844699
2018.08.31,11:45:00,144.071,144.21,144.055,144.209,2051,144.1503999558599,144.19073953874386,144.26232365639817,74.07355886694995
2018.08.31,12:00:00,144.204,144.207,144.084,144.107,2363,144.13303997351593,144.17213075235634,144.2440502850572,40.34229033483308
2018.08.31,12:15:00,144.107,144.188,144.079,144.137,2422,144.13462398410957,144.16432391849938,144.231456133874,52.946428036978766
2018.08.31,12:30:00,144.136,144.176,144.043,144.097,1927,144.11957439046574,144.14936304772175,144.21563776518295,33.86625049115346
2018.08.31,12:45:00,144.098,144.193,144.095,144.16,1834,144.13574463427943,144.1517268148947,144.20909214574965,69.0262965408299
2018.08.31,13:00:00,144.159,144.184,143.977,144.001,2217,144.08184678056767,144.11823196714033,144.1846107168379,18.73896911924094
2018.08.31,13:15:00,144,144.077,143.941,144.047,2041,144.0679080683406,144.10240264110917,144.16842122073933,42.835756506086334
2018.08.31,13:30:00,144.047,144.077,143.994,144.001,1632,144.04114484100438,144.0798687208627,144.1487246065347,26.888790202900797
2018.08.31,13:45:00,144.002,144.104,143.989,144.038,1914,144.03988690460264,144.070564560671,144.1356981822365,54.27371064633826
2018.08.31,14:00:00,144.038,144.06,143.997,144.029,1468,144.03553214276158,144.061327991633,144.12314545491455,45.90826349524379
2018.08.31,14:15:00,144.029,144.034,143.922,143.962,2706,144.00611928565695,144.03925510460346,144.10418716610107,13.933168952712755
2018.08.31,14:30:00,143.962,143.97,143.685,143.837,2919,143.93847157139416,143.9943095258027,144.0727533818539,3.8715295028014034
2018.08.31,14:45:00,143.838,143.894,143.78,143.872,3012,143.9118829428365,143.9671296311799,144.0491353369299,31.551735391825137
2018.08.31,15:00:00,143.872,143.906,143.774,143.799,2873,143.8667297657019,143.9297674909177,144.01970765023228,14.334117678655605
2018.08.31,15:15:00,143.799,143.971,143.659,143.893,3579,143.87723785942114,143.92159693738043,144.004800867852,64.385287944719
2018.08.31,15:30:00,143.891,143.975,143.704,143.739,3138,143.82194271565268,143.8810198401848,143.97353017751647,22.092240841509557
2018.08.31,15:45:00,143.738,143.757,143.646,143.699,3152,143.7727656293916,143.8405709868104,143.94123250957335,16.471585020805463
2018.08.31,16:00:00,143.7,143.7,143.494,143.586,4385,143.698059377635,143.7839996564081,143.89944044962354,6.757685132350522
2018.08.31,16:15:00,143.584,143.739,143.581,143.663,4304,143.68403562658102,143.75711084387297,143.87162392613843,48.30532283348058
2018.08.31,16:30:00,143.663,143.731,143.617,143.704,3989,143.69202137594863,143.74530843412342,143.8519034642398,64.94140154167467
2018.08.31,16:45:00,143.704,143.754,143.654,143.689,3244,143.69081282556917,143.73279544876266,143.83273835079981,52.56396624661389
